Stage,Subject,Outcome,Focus Area,Focus Group,Content Group,Content Point
1,Mathematics,Number and Algebra,Representing whole numbers B,Representing whole numbers B,Use counting sequences of ones and tens flexibly,"Count forwards and backwards by tens, on and off the decade, with two- and three-digit numbers"
1,Mathematics,Number and Algebra,Representing whole numbers B,Representing whole numbers B,Use counting sequences of ones and tens flexibly,Identify how many more to the next multiple of ten within two- and three-digit numbers
1,Mathematics,Number and Algebra,Representing whole numbers B,Representing whole numbers B,"Form, regroup, and rename three-digit numbers",Count and represent large sets of objects by systematically grouping in tens and hundreds
1,Mathematics,Number and Algebra,Representing whole numbers B,Representing whole numbers B,"Form, regroup, and rename three-digit numbers",Use models such as base 10 material and interlocking cubes to represent and explain grouping
1,Mathematics,Number and Algebra,Representing whole numbers B,Representing whole numbers B,"Form, regroup, and rename three-digit numbers",State the quantity value of digits in numbers of up to three digits (Reasons about quantity)
1,Mathematics,Number and Algebra,Representing whole numbers B,Representing whole numbers B,"Form, regroup, and rename three-digit numbers",Identify the nearest hundred to a number
1,Mathematics,Number and Algebra,Representing whole numbers B,Representing whole numbers B,"Form, regroup, and rename three-digit numbers",Recognise units of 100
1,Mathematics,Number and Algebra,Representing whole numbers B,Representing whole numbers B,"Form, regroup, and rename three-digit numbers",Use place value to partition and rename three-digit numbers in different ways (Reasons about relations)
1,Mathematics,Number and Algebra,Representing whole numbers B,Representing whole numbers B,"Form, regroup, and rename three-digit numbers","Estimate, to the nearest hundred, the number of objects in a collection and check by grouping and counting"
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Use advanced count-by-one strategies to solve addition and subtraction problems,"Apply the terms ‘add’, ‘plus’, ‘equals’, ‘is equal to’, ‘is the same as’, ‘take away’, ‘minus’ and ‘the difference between’ to describe combining and separating quantities"
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Use advanced count-by-one strategies to solve addition and subtraction problems,"Recognise and use the symbols for plus (+), minus (–) and equals (=)"
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Use advanced count-by-one strategies to solve addition and subtraction problems,"Record number sentences in a variety of ways using drawings, words, numerals and symbols"
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Use advanced count-by-one strategies to solve addition and subtraction problems,Fluently use advanced count-by-one strategies including counting on and counting back to solve addition and subtraction problems involving one- and two-digit numbers (Reasons about relations)
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Recognise and recall number bonds up to ten,"Recognise, recall and record combinations of two numbers that add up or bond to form 10"
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Recognise and recall number bonds up to ten,Model and record patterns for individual numbers up to ten by making all possible whole-number combinations (Reasons about patterns)
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Recognise and recall number bonds up to ten,"Create, recall and recognise combinations of two numbers that add up to numbers less than 10"
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Recognise and recall number bonds up to ten,"Describe combinations for numbers using words such as more than, less than and double (Reasons about relations)"
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Use flexible strategies to solve addition and subtraction problems,Use non-count-by-one strategies such as using doubles for near doubles and combining numbers that add to ten
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Use flexible strategies to solve addition and subtraction problems,Represent addition and subtraction using structured materials such as a bead string or similar model
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Use flexible strategies to solve addition and subtraction problems,Select and apply strategies using number bonds to solve addition and subtraction problems with one- and two-digit numbers by partitioning numbers using quantity value and bridging to 10 (Reasons about relations)
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Represent equality,"Use the equals sign to record equivalent number sentences involving addition, and to mean 'is the same as', rather than as an indication to perform an operation (Reasons about relations)"
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Represent equality,Model the commutative property for addition and apply it to aid the recall of addition facts (Reasons about relations)
1,Mathematics,Number and Algebra,Combining and separating quantities A,Combining and separating quantities A,Represent equality,Recall related addition and subtraction facts for numbers to at least 10 (Reasons about relations)
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Represent and reason about additive relations,"Create, record and recognise combinations of two numbers that add to numbers from 11 up to and including 20"
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Represent and reason about additive relations,"Create, model and solve word problems, using number sentences"
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Represent and reason about additive relations,Represent the difference between two numbers using concrete materials and diagrams
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Represent and reason about additive relations,Represent a constant difference between pairs of numbers
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Represent and reason about additive relations,"Model how addition and subtraction are inverse operations using concrete materials, drawings and diagrams"
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Represent and reason about additive relations,Recall and use related addition and subtraction number facts to at least 20
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Form multiples of ten when adding and subtracting two-digit numbers,Add two-digit numbers by building to multiples of ten
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Form multiples of ten when adding and subtracting two-digit numbers,Add and subtract from a two-digit number and record on an empty number line
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Form multiples of ten when adding and subtracting two-digit numbers,Use quantity values to separate tens and ones for addition (only)
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Form multiples of ten when adding and subtracting two-digit numbers,Use an inverse strategy to turn a subtraction into an addition (Reasons about relations)
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Use knowledge of equality to solve related problems,Use number bonds to determine a missing number
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Use knowledge of equality to solve related problems,Use number knowledge to solve related problems (Reasons about relations)
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Use knowledge of equality to solve related problems,Use a variety of ways of writing number sentences
1,Mathematics,Number and Algebra,Combining and separating quantities B,Combining and separating quantities B,Use knowledge of equality to solve related problems,Use number bonds to solve equality problems
1,Mathematics,Number and Algebra,Forming groups A,Forming groups A,Count in multiples using rhythmic and skip counting,"Count by twos, threes, fives and tens using rhythmic counting and skip counting"
1,Mathematics,Number and Algebra,Forming groups A,Forming groups A,Use skip counting patterns,"Identify and describe patterns when skip counting forwards or backwards by twos, fives and tens"
1,Mathematics,Number and Algebra,Forming groups A,Forming groups A,Use skip counting patterns,Determine a missing number in a number pattern with a constant difference
1,Mathematics,Number and Algebra,Forming groups A,Forming groups A,Use skip counting patterns,Describe how the missing number in a number pattern was determined (Reasons about relations)
1,Mathematics,Number and Algebra,Forming groups A,Forming groups A,Model and use equal groups of objects to represent multiplication,Model and describe collections of objects as groups of
1,Mathematics,Number and Algebra,Forming groups A,Forming groups A,Model and use equal groups of objects to represent multiplication,Determine and distinguish between the number of groups and the number in each group when describing collections of objects (Reasons about relations)
1,Mathematics,Number and Algebra,Forming groups A,Forming groups A,Model and use equal groups of objects to represent multiplication,Find the total number of objects using skip counting of equal groups of a known size
1,Mathematics,Number and Algebra,Forming groups A,Forming groups A,Recognise and represent division,Use concrete materials to model a half of a collection and show the relation between the half and the whole
1,Mathematics,Number and Algebra,Forming groups A,Forming groups A,Recognise and represent division,Model sharing division by distributing a collection of objects equally into a given number of groups to determine how many in each group
1,Mathematics,Number and Algebra,Forming groups A,Forming groups A,Recognise and represent division,Model grouping division by determining the number of groups of a given size that can be formed
1,Mathematics,Number and Algebra,Forming groups A,Forming groups A,Recognise and represent division,Describe the part left over when a collection cannot be distributed equally using the given group size
1,Mathematics,Number and Algebra,Forming groups B,Forming groups B,Represent and explain multiplication as the combining of equal groups,"Use objects, diagrams, images or actions to model multiplication as accumulating equal groups"
1,Mathematics,Number and Algebra,Forming groups B,Forming groups B,Represent and explain multiplication as the combining of equal groups,Solve multiplication problems using repeated addition
1,Mathematics,Number and Algebra,Forming groups B,Forming groups B,Represent and explain multiplication as the combining of equal groups,Form arrays of equal rows and equal columns
1,Mathematics,Number and Algebra,Forming groups B,Forming groups B,Represent and explain multiplication as the combining of equal groups,Determine and distinguish between the number of rows/columns and the number in each row/column when describing collections of objects
1,Mathematics,Number and Algebra,Forming groups B,Forming groups B,Represent and explain multiplication as the combining of equal groups,"Model the commutative property of multiplication, using an array (Reasons about relations)"
1,Mathematics,Number and Algebra,Forming groups B,Forming groups B,Represent and explain multiplication as the combining of equal groups,Model division by deconstructing an array equally into a given number of rows or columns
1,Mathematics,Number and Algebra,Forming groups B,Forming groups B,Model doubling and halving with fractions,Model doubling and halving groups and the relation between the processes
1,Mathematics,Number and Algebra,Forming groups B,Forming groups B,Model doubling and halving with fractions,Re-create the whole given half
1,Mathematics,Number and Algebra,Forming groups B,Forming groups B,Model doubling and halving with fractions,"Use concrete materials to model a half, a quarter or an eighth of a collection, and explain their thinking"
1,Mathematics,Number and Algebra,Forming groups B,Forming groups B,Represent multiplication and division problems,"Solve multiplication and division problems using objects, diagrams, images and actions"
1,Mathematics,Number and Algebra,Forming groups B,Forming groups B,Represent multiplication and division problems,"Record answers to multiplication and division problems (including those with remainders) using drawings, words and numerals"
1,Mathematics,Number and Algebra,Geometric measure A,Position,Follow directions to familiar locations,"Give and follow directions, including directions involving turns to the left and right, to move between familiar locations"
1,Mathematics,Number and Algebra,Geometric measure A,Position,Follow directions to familiar locations,Give and follow instructions to position objects in models and drawings
1,Mathematics,Number and Algebra,Geometric measure A,Position,Follow directions to familiar locations,Describe the path from one location to another on drawings and diagrams
1,Mathematics,Number and Algebra,Geometric measure A,Length,Measure the lengths of objects using uniform informal units,Use uniform informal units to measure lengths and distances by placing the units end to end without gaps or overlaps
1,Mathematics,Number and Algebra,Geometric measure A,Length,Measure the lengths of objects using uniform informal units,Select appropriate uniform informal units to measure lengths and distances
1,Mathematics,Number and Algebra,Geometric measure A,Length,Measure the lengths of objects using uniform informal units,Recognise and explain the relationship between the size of a unit and the number of units needed (Reasons about relations)
1,Mathematics,Number and Algebra,Geometric measure A,Length,Measure the lengths of objects using uniform informal units,Count informal units to measure lengths or distances and describe the part left over
1,Mathematics,Number and Algebra,Geometric measure A,Length,Measure the lengths of objects using uniform informal units,Record lengths and distances by referring to the number and type of unit used
1,Mathematics,Number and Algebra,Geometric measure A,Length,Measure the lengths of objects using uniform informal units,Use a single informal unit repeatedly (iteratively) to measure length
1,Mathematics,Number and Algebra,Geometric measure A,Length,Compare lengths using uniform informal units,Compare the lengths of two or more objects using appropriate uniform informal units and check by placing the objects side by side and aligning the ends
1,Mathematics,Number and Algebra,Geometric measure A,Length,Compare lengths using uniform informal units,Explain why the length of an object remains constant when rearranged (Reasons about relations)
1,Mathematics,Number and Algebra,Geometric measure A,Length,Compare lengths using uniform informal units,"Estimate lengths, indicating the number and type of unit used and check by measuring"
1,Mathematics,Number and Algebra,Geometric measure A,Length,Subdivide lengths to find halves and quarters,"Use concrete materials to model both half and quarters of a whole length, highlighting the length"
1,Mathematics,Number and Algebra,Geometric measure A,Length,Subdivide lengths to find halves and quarters,"Identify two equal parts and the relationship of the parts to the whole length, linking words and images"
1,Mathematics,Number and Algebra,Geometric measure A,Length,Subdivide lengths to find halves and quarters,Recognise when lengths have or have not been divided into halves and quarters
1,Mathematics,Number and Algebra,Geometric measure B,Position,Explore simple maps of familiar locations,"Make simple models from memory, photographs, drawings or descriptions"
1,Mathematics,Number and Algebra,Geometric measure B,Position,Explore simple maps of familiar locations,Interpret simple maps by identifying objects in different locations
1,Mathematics,Number and Algebra,Geometric measure B,Position,Explore simple maps of familiar locations,Create a path from one location to another
1,Mathematics,Number and Algebra,Geometric measure B,Length,"Compare and order lengths, using appropriate uniform informal units",Make and use a tape measure calibrated in uniform informal units
1,Mathematics,Number and Algebra,Geometric measure B,Length,"Compare and order lengths, using appropriate uniform informal units",Compare and order two or more shapes according to their lengths using an appropriate uniform informal unit
1,Mathematics,Number and Algebra,Geometric measure B,Length,"Compare and order lengths, using appropriate uniform informal units",Compare the lengths of two or more objects that cannot be moved or aligned (Reasons about relations)
1,Mathematics,Number and Algebra,Geometric measure B,Length,"Compare and order lengths, using appropriate uniform informal units","Record length comparisons using drawings, numerals and words, and by referring to the uniform informal unit used"
1,Mathematics,Number and Algebra,Geometric measure B,Length,Recognise and use formal units to measure the lengths of objects,Recognise the need for formal units to measure lengths and distances
1,Mathematics,Number and Algebra,Geometric measure B,Length,Recognise and use formal units to measure the lengths of objects,Use the metre as a unit to measure lengths and distances to the nearest metre or half-metre
1,Mathematics,Number and Algebra,Geometric measure B,Length,Recognise and use formal units to measure the lengths of objects,Record lengths and distances using the abbreviation for metres (m)
1,Mathematics,Number and Algebra,Geometric measure B,Length,Recognise and use formal units to measure the lengths of objects,Estimate lengths and distances to the nearest metre and check by measuring
1,Mathematics,Number and Algebra,Geometric measure B,Length,Recognise and use formal units to measure the lengths of objects,Recognise the need for a formal unit smaller than the metre
1,Mathematics,Number and Algebra,Geometric measure B,Length,Recognise and use formal units to measure the lengths of objects,Recognise that there are 100 centimetres in one metre
1,Mathematics,Number and Algebra,Geometric measure B,Length,Recognise and use formal units to measure the lengths of objects,"Measure lengths to the nearest centimetre, using a device with 1-cm markings"
1,Mathematics,Number and Algebra,Geometric measure B,Length,Recognise and use formal units to measure the lengths of objects,Record lengths and distances using the abbreviation for centimetres (cm)
1,Mathematics,Number and Algebra,Geometric measure B,Length,Recognise and use formal units to measure the lengths of objects,Estimate lengths and distances to the nearest centimetre and check by measuring
1,Mathematics,Number and Algebra,Geometric measure B,Length,Repeatedly halve lengths to form eighths,"Use materials to model an eighth of a whole length, highlighting the length"
1,Mathematics,Number and Algebra,Geometric measure B,Length,Repeatedly halve lengths to form eighths,Recognise when a length is divided into eight equal parts
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,2D shapes,Recognise and classify shapes using obvious features,"Explore, manipulate and describe features of polygons"
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,2D shapes,Recognise and classify shapes using obvious features,"Use the terms ‘side’, ‘vertex’ and ‘two-dimensional’ to describe plane (flat) shapes"
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,2D shapes,Recognise and classify shapes using obvious features,"Create repeating linear patterns with shapes, including two-shape and three-shape patterns"
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,2D shapes,Recognise and classify shapes using obvious features,"Compare, sort and classify polygons according to the number of sides or vertices"
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,2D shapes,Recognise and classify shapes using obvious features,"Select and name a shape from a description of its features, identifying triangles, quadrilaterals, pentagons, hexagons and octagons (Reasons about spatial relations)"
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,2D shapes,Recognise and classify shapes using obvious features,Recognise that shapes with the same name may have sides of equal or different lengths (Reasons about spatial relations)
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,2D shapes,Recognise and classify shapes using obvious features,Identify shapes presented in different orientations
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,2D shapes,Transform shapes with slides and reflections,Recognise that sliding or reflecting a shape does not change its size or features (Reasons about spatial relations)
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,2D shapes,Transform shapes with slides and reflections,Identify and create a slide (translation) or reflection of a single shape and use the terms ‘slide’ (translation) and ‘reflection’ to describe the movement of the shape
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,2D shapes,Transform shapes with slides and reflections,"Make designs with symmetry from reflection using paper-folding, mirrors, drawings or paintings"
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,Area,Indirectly compare area,Indirectly compare the areas of two surfaces that cannot be moved or superimposed
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,Area,Indirectly compare area,Predict which of two similar shapes has the larger area and check by covering
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,Area,Measure areas using uniform informal units,Explore area using uniform informal units to cover the surface in rows or columns without gaps or overlaps
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,Area,Measure areas using uniform informal units,Measure area by selecting and using appropriate uniform informal units (Reasons about relations)
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,Area,Measure areas using uniform informal units,Explain the relationship between the size of a unit and the number of units needed to measure an area (Reasons about relations)
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,Area,Measure areas using uniform informal units,Explain why the area remains constant when units are rearranged (Reasons about relations)
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,Area,Measure areas using uniform informal units,Record areas by referring to the number and type of uniform informal unit used
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,Area,Measure areas using uniform informal units,Identify any parts of units left over when counting uniform informal units to measure area
1,Mathematics,Measurement and Space,Two-dimensional spatial structure A,Area,Measure areas using uniform informal units,Estimate areas by referring to the number and type of uniform informal unit used and check by measuring
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,2D shapes,"Represent, combine and separate two-dimensional shapes",Make representations of two-dimensional shapes and combinations of shapes in different orientations
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,2D shapes,"Represent, combine and separate two-dimensional shapes",Combine and split single shapes and arrangements of shapes to form new shapes (Reasons about spatial relations)
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,2D shapes,Identify and describe the orientation of shapes using quarter turns,"Identify full, half and quarter turns of a single shape and describe the movement of the shape"
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,2D shapes,Identify and describe the orientation of shapes using quarter turns,"Identify and describe directions of turns as ‘left turn’, ‘right turn’, ‘clockwise’ or ‘anti-clockwise’"
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,2D shapes,Identify and describe the orientation of shapes using quarter turns,Connect the use of quarter and half turns to the turn of the minute hand on a clock for the passing of quarter and half-hours (Reasons about relations)
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,2D shapes,Identify and describe the orientation of shapes using quarter turns,"Perform full, half and quarter turns with a single shape"
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,2D shapes,Identify and describe the orientation of shapes using quarter turns,Describe the result of a turn of a shape
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,2D shapes,Identify and describe the orientation of shapes using quarter turns,Determine the repeating pattern formed by quarter turns
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,Area,Compare rectangular areas using uniform square units of an appropriate size in rows and columns,Cover rectangular surfaces by creating repeated rows of square tiles
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,Area,Compare rectangular areas using uniform square units of an appropriate size in rows and columns,Use a single square to create the array structure of area in rows and columns
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,Area,Compare rectangular areas using uniform square units of an appropriate size in rows and columns,Use the structure of repeated units to find the area of a rectangle
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,Area,Compare rectangular areas using uniform square units of an appropriate size in rows and columns,Explain how the grid structure of rows and columns helps to find the area (Reasons about spatial structure)
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,Area,Compare rectangular areas using uniform square units of an appropriate size in rows and columns,"Compare the areas of two or more surfaces that cannot be moved, or superimposed, by measuring in uniform informal units"
1,Mathematics,Measurement and Space,Two-dimensional spatial structure B,Area,Compare rectangular areas using uniform square units of an appropriate size in rows and columns,"Record comparisons of area using drawings, numerals and words, and by referring to the uniform informal unit used"
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,3D objects,Recognise familiar three-dimensional objects,Use the term ‘three-dimensional’ to describe a range of objects
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,3D objects,Recognise familiar three-dimensional objects,"Distinguish between objects, which are three-dimensional (3D) and shapes which are two-dimensional (2D)"
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,3D objects,Recognise familiar three-dimensional objects,"Identify and name familiar three-dimensional objects, including cubes, cylinders, spheres and rectangular prisms"
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,3D objects,Sort and describe three-dimensional objects,Manipulate and describe familiar three-dimensional objects
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,3D objects,Sort and describe three-dimensional objects,Use the term ‘surface' in describing familiar three-dimensional objects
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,3D objects,Sort and describe three-dimensional objects,Sort familiar three-dimensional objects according to obvious features
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,3D objects,Sort and describe three-dimensional objects,Use the term ‘face’ to describe the flat surfaces of three-dimensional objects with straight edges
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,3D objects,Sort and describe three-dimensional objects,Select and name a familiar three-dimensional object from a description of its features
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Measure and compare the internal volumes (capacities) of containers by filling,Use uniform informal units to measure how much a container will hold by counting the number of times a smaller container can be filled and emptied into the container being measured
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Measure and compare the internal volumes (capacities) of containers by filling,Select appropriate informal units to measure the capacities of containers
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Measure and compare the internal volumes (capacities) of containers by filling,Recognise and explain the relationship between the size of a unit and the number of units needed (Reasons about relations)
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Measure and compare the internal volumes (capacities) of containers by filling,Compare the internal volumes of two or more containers using appropriate uniform informal units
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Measure and compare the internal volumes (capacities) of containers by filling,Recognise and explain why containers of different shapes may have the same internal volume (Reasons about relations)
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Measure and compare the internal volumes (capacities) of containers by filling,Estimate how much a container holds by referring to the number and type of uniform informal unit used and check by measuring
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Measure the internal volume (capacity) of containers by packing,Pack cubic units (eg blocks) into rectangular containers so that there are no gaps
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Measure the internal volume (capacity) of containers by packing,Recognise that cubes pack better than other objects in rectangular containers (Reasons about spatial structure)
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Measure the internal volume (capacity) of containers by packing,Estimate and measure the internal volume of a container by filling the container with uniform informal units and counting the number of units used
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Measure the internal volume (capacity) of containers by packing,"Explain that if there are gaps when packing and stacking, this will affect the accuracy of measuring the internal volume"
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Construct volumes using cubes,Explore different rectangular prisms that can be made from a given number of cubes
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Construct volumes using cubes,Devise and explain strategies for stacking and counting units to form a rectangular prism (Reasons about spatial structure)
1,Mathematics,Measurement and Space,Three-dimensional spatial structure A,Volume,Construct volumes using cubes,"Record volumes, referring to the number and type of uniform informal unit used"
1,Mathematics,Measurement and Space,Three-dimensional spatial structure B,3D objects,Describe the features of three-dimensional objects,"Describe three-dimensional objects (prisms) using the terms ‘face’, ‘edge’ and ‘vertex’"
1,Mathematics,Measurement and Space,Three-dimensional spatial structure B,3D objects,Describe the features of three-dimensional objects,Represent three-dimensional objects by making simple models
1,Mathematics,Measurement and Space,Three-dimensional spatial structure B,3D objects,Describe the features of three-dimensional objects,Recognise and name flat surfaces of three-dimensional objects as two-dimensional shapes
1,Mathematics,Measurement and Space,Three-dimensional spatial structure B,Volume,Compare containers based on internal volume (capacity) by filling and packing,Make and use a device for measuring internal volume (capacity) calibrated in uniform informal units
1,Mathematics,Measurement and Space,Three-dimensional spatial structure B,Volume,Compare containers based on internal volume (capacity) by filling and packing,"Compare, order and record the internal volumes (capacities) of two or more containers by measuring each container in uniform informal units"
1,Mathematics,Measurement and Space,Three-dimensional spatial structure B,Volume,Compare containers based on internal volume (capacity) by filling and packing,Estimate internal volume (capacity) by referring to the number and type of uniform informal unit used
1,Mathematics,Measurement and Space,Three-dimensional spatial structure B,Volume,Compare volumes using uniform informal units,Estimate the volumes of two or more models and check by counting the number of blocks used in each model
1,Mathematics,Measurement and Space,Three-dimensional spatial structure B,Volume,Compare volumes using uniform informal units,"Compare models with different appearances, recognising when they have the same volume (Reasons about spatial structure)"
1,Mathematics,Measurement and Space,Three-dimensional spatial structure B,Volume,Compare volumes using uniform informal units,"Record the results of volume comparisons using drawings, numerals and words, referring to the units used"
1,Mathematics,Measurement and Space,Three-dimensional spatial structure B,Volume,Compare volumes using uniform informal units,Explain that models made of the same number of units may have different volumes depending on the size of the units used (Reasons about spatial relations)
1,Mathematics,Measurement and Space,Non-spatial measure A,Mass,Investigate mass using an equal-arm balance,Place objects on either side of an equal-arm balance to obtain a level balance
1,Mathematics,Measurement and Space,Non-spatial measure A,Mass,Investigate mass using an equal-arm balance,"Use an equal-arm balance to compare the masses of two objects and record, which is heavier or lighter"
1,Mathematics,Measurement and Space,Non-spatial measure A,Mass,Investigate mass using an equal-arm balance,Predict the action of an equal-arm balance before placing particular objects in each pan (Reasons about relations)
1,Mathematics,Measurement and Space,Non-spatial measure A,Mass,Investigate mass using an equal-arm balance,Use a balance to find two collections of objects that have the same mass
1,Mathematics,Measurement and Space,Non-spatial measure A,Mass,Investigate mass using an equal-arm balance,"Compare and order the masses of two or more objects by hefting, and check using an equal-arm balance"
1,Mathematics,Measurement and Space,Non-spatial measure A,Time,Name and order the cycle of months,Name and order the months of the year
1,Mathematics,Measurement and Space,Non-spatial measure A,Time,Name and order the cycle of months,Recall the number of days in each month
